Date,Name,Comment
19/04/2022,Pablo Sara,Give it to us baba!
19/04/2022,Pablo Sara,yes!
28/10/2021,Colin Simmons,↑ Nearly 5 years ago 😭
29/01/2021,HYPE Studio,and CMS enabled
08/10/2020,Jonny Growfox,C'MON !
07/08/2020,Elliot Roberts,August 2020. Would be great to see this added soon
29/07/2020,Janne Parri,This would be beautiful and so helpful!
22/05/2020,Sania Saleh,Having real SVG support would unlock so much please make this happen!
31/03/2020,Victor De Paula,I don't see how it hasn't been added yet
17/01/2020,Ryan Auger,Should already be a feature!
30/12/2019,Mariia Kulida,+1
15/11/2019,Tiago Vasconcelos,Would love to see this one. I just run into a situation when I needed it.
15/11/2019,David Nge,Yes would love to be able to customize svg images!
04/11/2019,Nicolai Hemdrup,Yes!
20/08/2019,Abruptive Team,Bump!
14/07/2019,Tyler Billions,Please make this happen Webflow team! Would be so awesome to have!
07/07/2019,Tiada Guru,Ah this is disappointing. :(
22/05/2019,Alain,Yes pleasse
25/01/2019,Michael Wells,Very keen. I think in order to support SVG CSS though we have to treat it differently from images and embed it inline.  This is needed for currentColor to work as well as xlink clickable areas.  I've added a wishlist item here for an SVG Element in webflow so these types of things can be controlled.
23/01/2019,Maximilien Bony,I'm new webflow user and spent too much time looking for how custom css for my svg files. It could be very (very) usefull !
